judge_model,topic,model_a,model_b,swapped,first_model,second_model,first_arg_length_words,second_arg_length_words,response_time_sec,confidence,raw_response,winner_model
qwen,We should abolish the right to keep and bear arms,llama,qwen,True,qwen,llama,53,76,0.1532421112060547,5.0,"Winner: Neither
Confidence: 5",NEITHER
allam,We should abolish the right to keep and bear arms,llama,qwen,True,qwen,llama,53,76,0.5694057941436768,5.0,"Winner: Argument 2
Confidence: 5",llama
llama,We should subsidize student loans,allam,llama,False,allam,llama,92,75,0.42871689796447754,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should subsidize student loans,allam,llama,False,allam,llama,92,75,0.1748192310333252,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should subsidize student loans,allam,llama,False,allam,llama,92,75,0.660585880279541,5.0,"Winner: Argument 2
Confidence: 5",llama
llama,We should subsidize student loans,allam,qwen,False,allam,qwen,92,47,0.2108759880065918,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should subsidize student loans,allam,qwen,False,allam,qwen,92,47,0.6193201541900635,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should subsidize student loans,allam,qwen,False,allam,qwen,92,47,0.31365299224853516,4.0,"Winner: Argument 1
Confidence: 4",allam
llama,We should subsidize student loans,llama,qwen,False,llama,qwen,75,47,0.19574785232543945,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,We should subsidize student loans,llama,qwen,False,llama,qwen,75,47,0.4366567134857178,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,We should subsidize student loans,llama,qwen,False,llama,qwen,75,47,0.4178659915924072,5.0,"Winner: Argument 1
Confidence: 5",llama
llama,We should legalize prostitution,allam,llama,False,allam,llama,97,79,0.2557649612426758,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should legalize prostitution,allam,llama,False,allam,llama,97,79,0.580172061920166,2.0,"Winner: Argument 1
Confidence: 2",allam
allam,We should legalize prostitution,allam,llama,False,allam,llama,97,79,0.5151619911193848,5.0,"Winner: Argument 2 
Confidence: 5",llama
llama,We should legalize prostitution,allam,qwen,False,allam,qwen,97,48,0.5174388885498047,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should legalize prostitution,allam,qwen,False,allam,qwen,97,48,0.24466896057128906,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should legalize prostitution,allam,qwen,False,allam,qwen,97,48,0.36798906326293945,5.0,"Winner: Argument 2 (5)
Confidence: 5",qwen
llama,We should legalize prostitution,llama,qwen,True,qwen,llama,48,79,0.1584329605102539,4.0,"Winner: Argument 2
Confidence: 4",llama
qwen,We should legalize prostitution,llama,qwen,True,qwen,llama,48,79,0.3839097023010254,3.0,"Winner: Argument 1
Confidence: 3",qwen
allam,We should legalize prostitution,llama,qwen,True,qwen,llama,48,79,0.518733024597168,,"Winner: Argument 2 (I am confident with a rating of 5)

Explanation: Argument 2 presents a comprehensive argument for legalizing prostitution, emphasizing the benefits such as better health, safety, labor",llama
llama,Social media platforms should be regulated by the government,allam,llama,True,llama,allam,78,63,0.16070890426635742,5.0,"Winner: Argument 1
Confidence: 5",llama
qwen,Social media platforms should be regulated by the government,allam,llama,True,llama,allam,78,63,0.4730689525604248,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,Social media platforms should be regulated by the government,allam,llama,True,llama,allam,78,63,0.308107852935791,4.0,"Winner: Argument 1
Confidence: 4",llama
llama,Social media platforms should be regulated by the government,allam,qwen,False,allam,qwen,63,47,0.1743621826171875,4.0,"Winner: Argument 2
Confidence: 4",qwen
qwen,Social media platforms should be regulated by the government,allam,qwen,False,allam,qwen,63,47,0.18303418159484863,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,Social media platforms should be regulated by the government,allam,qwen,False,allam,qwen,63,47,0.3936960697174072,4.0,"Winner: Argument 2 
Confidence: 4",qwen
llama,Social media platforms should be regulated by the government,llama,qwen,True,qwen,llama,47,78,0.20833611488342285,5.0,"Winner: Argument 1
Confidence: 5",qwen
qwen,Social media platforms should be regulated by the government,llama,qwen,True,qwen,llama,47,78,0.34024906158447266,3.0,"Winner: Argument 1
Confidence: 3",qwen
allam,Social media platforms should be regulated by the government,llama,qwen,True,qwen,llama,47,78,0.6883330345153809,5.0,"Winner: Argument 2
Confidence: 5",llama
llama,We should introduce compulsory voting,allam,llama,True,llama,allam,76,67,0.19926905632019043,5.0,"Winner: Argument 1
Confidence: 5",llama
qwen,We should introduce compulsory voting,allam,llama,True,llama,allam,76,67,0.22588419914245605,3.0,"Winner: Argument 1
Confidence: 3",llama
allam,We should introduce compulsory voting,allam,llama,True,llama,allam,76,67,0.32320594787597656,5.0,"Winner: Argument 1
Confidence: 5",llama
llama,We should introduce compulsory voting,allam,qwen,False,allam,qwen,67,42,0.33043909072875977,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should introduce compulsory voting,allam,qwen,False,allam,qwen,67,42,0.14394593238830566,4.0,"Winner: Argument 2
Confidence: 4",qwen
allam,We should introduce compulsory voting,allam,qwen,False,allam,qwen,67,42,0.3350536823272705,5.0,"Winner: Argument 2
Confidence: 5",qwen
llama,We should introduce compulsory voting,llama,qwen,False,llama,qwen,76,42,0.1972799301147461,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,We should introduce compulsory voting,llama,qwen,False,llama,qwen,76,42,0.35803985595703125,3.0,"Winner: Argument 1
Confidence: 3",llama
allam,We should introduce compulsory voting,llama,qwen,False,llama,qwen,76,42,0.4177677631378174,4.0,"Winner: Argument 1
Confidence: 4",llama
llama,We should ban the use of child actors,allam,llama,False,allam,llama,82,72,0.24749302864074707,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should ban the use of child actors,allam,llama,False,allam,llama,82,72,0.22559094429016113,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should ban the use of child actors,allam,llama,False,allam,llama,82,72,0.30503416061401367,5.0,"Winner: Argument 1
Confidence: 5",allam
llama,We should ban the use of child actors,allam,qwen,False,allam,qwen,82,55,0.24042487144470215,5.0,"Winner: Argument 1
Confidence: 5",allam
qwen,We should ban the use of child actors,allam,qwen,False,allam,qwen,82,55,0.1748497486114502,3.0,"Winner: Argument 1
Confidence: 3",allam
allam,We should ban the use of child actors,allam,qwen,False,allam,qwen,82,55,0.3003058433532715,5.0,"Winner: Argument 1
Confidence: 5",allam
llama,We should ban the use of child actors,llama,qwen,True,qwen,llama,55,72,0.7110698223114014,5.0,"Winner: Argument 1
Confidence: 5",qwen
qwen,We should ban the use of child actors,llama,qwen,True,qwen,llama,55,72,0.7248120307922363,5.0,"Winner: Neither
Confidence: 5",NEITHER
allam,We should ban the use of child actors,llama,qwen,True,qwen,llama,55,72,0.30072593688964844,5.0,"Winner: Argument 1
Confidence: 5",qwen
llama,We should abolish the three-strikes laws,allam,llama,False,allam,llama,67,77,0.2421886920928955,4.0,"Winner: Argument 2
Confidence: 4",llama
qwen,We should abolish the three-strikes laws,allam,llama,False,allam,llama,67,77,0.241041898727417,4.0,"Winner: Argument 2
Confidence: 4",llama
allam,We should abolish the three-strikes laws,allam,llama,False,allam,llama,67,77,0.32640910148620605,5.0,"Winner: Argument 2
Confidence: 5",llama
llama,We should abolish the three-strikes laws,allam,qwen,False,allam,qwen,67,50,0.17403006553649902,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should abolish the three-strikes laws,allam,qwen,False,allam,qwen,67,50,0.1553487777709961,2.0,"Winner: Argument 1
Confidence: 2",allam
allam,We should abolish the three-strikes laws,allam,qwen,False,allam,qwen,67,50,0.3055448532104492,4.0,"Winner: Argument 1
Confidence: 4",allam
llama,We should abolish the three-strikes laws,llama,qwen,False,llama,qwen,77,50,0.17093920707702637,5.0,"Winner: Argument 1
Confidence: 5",llama
qwen,We should abolish the three-strikes laws,llama,qwen,False,llama,qwen,77,50,0.7135560512542725,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,We should abolish the three-strikes laws,llama,qwen,False,llama,qwen,77,50,0.3158271312713623,4.0,"Winner: Argument 1
Confidence: 4",llama
llama,We should subsidize space exploration,allam,llama,True,llama,allam,66,51,0.4165060520172119,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,We should subsidize space exploration,allam,llama,True,llama,allam,66,51,0.19975709915161133,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,We should subsidize space exploration,allam,llama,True,llama,allam,66,51,0.34843897819519043,4.0,"Winner: Argument 2
Confidence: 4",allam
llama,We should subsidize space exploration,allam,qwen,False,allam,qwen,51,44,0.29393982887268066,5.0,"Winner: Argument 1
Confidence: 5",allam
qwen,We should subsidize space exploration,allam,qwen,False,allam,qwen,51,44,0.2660098075866699,3.0,"Winner: Argument 1
Confidence: 3",allam
allam,We should subsidize space exploration,allam,qwen,False,allam,qwen,51,44,0.3600149154663086,5.0,"Winner: Argument 2 (5)
Confidence: 5",qwen
llama,We should subsidize space exploration,llama,qwen,True,qwen,llama,44,66,0.209381103515625,4.0,"Winner: Argument 1
Confidence: 4",qwen
qwen,We should subsidize space exploration,llama,qwen,True,qwen,llama,44,66,0.22968196868896484,4.0,"Winner: Argument 1
Confidence: 4",qwen
allam,We should subsidize space exploration,llama,qwen,True,qwen,llama,44,66,0.4062950611114502,,Winner: Argument 1 Neither 2,NEITHER
llama,We should ban algorithmic trading,allam,llama,True,llama,allam,86,68,0.16031384468078613,5.0,"Winner: Argument 1
Confidence: 5",llama
qwen,We should ban algorithmic trading,allam,llama,True,llama,allam,86,68,0.2319660186767578,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,We should ban algorithmic trading,allam,llama,True,llama,allam,86,68,0.34893107414245605,4.0,"Winner: Argument 1
Confidence: 4",llama
llama,We should ban algorithmic trading,allam,qwen,False,allam,qwen,68,47,0.19699501991271973,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should ban algorithmic trading,allam,qwen,False,allam,qwen,68,47,0.2157762050628662,5.0,"Winner: Neither
Confidence: 5",NEITHER
allam,We should ban algorithmic trading,allam,qwen,False,allam,qwen,68,47,0.3205537796020508,4.0,"Winner: Argument 1
Confidence: 4",allam
llama,We should ban algorithmic trading,llama,qwen,True,qwen,llama,47,86,0.31626415252685547,4.0,"Winner: Argument 1
Confidence: 4",qwen
qwen,We should ban algorithmic trading,llama,qwen,True,qwen,llama,47,86,0.21801185607910156,5.0,"Winner: Neither
Confidence: 5",NEITHER
allam,We should ban algorithmic trading,llama,qwen,True,qwen,llama,47,86,0.29391980171203613,4.0,"Winner: Argument 1
Confidence: 4",qwen
llama,We should adopt atheism,allam,llama,True,llama,allam,75,70,0.16896390914916992,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,We should adopt atheism,allam,llama,True,llama,allam,75,70,0.3620131015777588,5.0,"Winner: Neither
Confidence: 5",NEITHER
allam,We should adopt atheism,allam,llama,True,llama,allam,75,70,0.31950902938842773,5.0,"Winner: Argument 1, Confidence: 5",llama
llama,We should adopt atheism,allam,qwen,False,allam,qwen,70,44,0.18532776832580566,5.0,"Winner: Argument 1
Confidence: 5",allam
qwen,We should adopt atheism,allam,qwen,False,allam,qwen,70,44,0.18529677391052246,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should adopt atheism,allam,qwen,False,allam,qwen,70,44,0.36495280265808105,4.0,"Winner: Argument 2
Confidence: 4",qwen
llama,We should adopt atheism,llama,qwen,True,qwen,llama,44,75,0.2013721466064453,3.0,"Winner: Argument 1
Confidence: 3",qwen
qwen,We should adopt atheism,llama,qwen,True,qwen,llama,44,75,0.1759810447692871,4.0,"Winner: Argument 2
Confidence: 4",llama
allam,We should adopt atheism,llama,qwen,True,qwen,llama,44,75,0.30945324897766113,5.0,"Winner: Argument 1 (5)
Confidence: 5",qwen
llama,We should adopt a zero-tolerance policy in schools,allam,llama,False,allam,llama,62,70,0.21088600158691406,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should adopt a zero-tolerance policy in schools,allam,llama,False,allam,llama,62,70,0.1534719467163086,5.0,"Winner: Neither
Confidence: 5",NEITHER
allam,We should adopt a zero-tolerance policy in schools,allam,llama,False,allam,llama,62,70,0.30765223503112793,4.0,"Winner: Argument 1
Confidence: 4",allam
llama,We should adopt a zero-tolerance policy in schools,allam,qwen,False,allam,qwen,62,45,0.16927170753479004,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should adopt a zero-tolerance policy in schools,allam,qwen,False,allam,qwen,62,45,0.49271607398986816,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should adopt a zero-tolerance policy in schools,allam,qwen,False,allam,qwen,62,45,0.33316493034362793,5.0,"Winner: Argument 1 (5)
Confidence: 5",allam
llama,We should adopt a zero-tolerance policy in schools,llama,qwen,True,qwen,llama,45,70,0.2222919464111328,4.0,"Winner: Argument 1
Confidence: 4",qwen
qwen,We should adopt a zero-tolerance policy in schools,llama,qwen,True,qwen,llama,45,70,0.5617938041687012,3.0,"Winner: Argument 2
Confidence: 3",llama
allam,We should adopt a zero-tolerance policy in schools,llama,qwen,True,qwen,llama,45,70,0.2987940311431885,4.0,"Winner: Argument 2
Confidence: 4",llama
llama,We should subsidize vocational education,allam,llama,True,llama,allam,84,50,0.5610039234161377,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,We should subsidize vocational education,allam,llama,True,llama,allam,84,50,0.31433606147766113,3.0,"Winner: Argument 1
Confidence: 3",llama
allam,We should subsidize vocational education,allam,llama,True,llama,allam,84,50,0.31690025329589844,4.0,"Winner: Argument 1
Confidence: 4",llama
llama,We should subsidize vocational education,allam,qwen,False,allam,qwen,50,54,0.3118128776550293,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should subsidize vocational education,allam,qwen,False,allam,qwen,50,54,0.2592449188232422,4.0,"Winner: Argument 2
Confidence: 4",qwen
allam,We should subsidize vocational education,allam,qwen,False,allam,qwen,50,54,0.5743579864501953,4.0,"Winner: Argument 1
Confidence: 4",allam
llama,We should subsidize vocational education,llama,qwen,True,qwen,llama,54,84,0.17864990234375,4.0,"Winner: Argument 1
Confidence: 4",qwen
qwen,We should subsidize vocational education,llama,qwen,True,qwen,llama,54,84,0.2092609405517578,3.0,"Winner: Argument 1
Confidence: 3",qwen
allam,We should subsidize vocational education,llama,qwen,True,qwen,llama,54,84,0.3475022315979004,4.0,"Winner: Argument 2 
Confidence: 4",llama
llama,We should legalize sex selection,allam,llama,False,allam,llama,107,108,0.20915579795837402,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should legalize sex selection,allam,llama,False,allam,llama,107,108,0.3167259693145752,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should legalize sex selection,allam,llama,False,allam,llama,107,108,0.6209850311279297,4.0,"Winner: Argument 1
Confidence: 4",allam
llama,We should legalize sex selection,allam,qwen,True,qwen,allam,50,107,0.17259597778320312,5.0,"Winner: Argument 1
Confidence: 5",qwen
qwen,We should legalize sex selection,allam,qwen,True,qwen,allam,50,107,0.5613319873809814,4.0,"Winner: Argument 1
Confidence: 4",qwen
allam,We should legalize sex selection,allam,qwen,True,qwen,allam,50,107,0.31069397926330566,4.0,"Winner: Argument 1 
Confidence: 4",qwen
llama,We should legalize sex selection,llama,qwen,False,llama,qwen,108,50,0.40750908851623535,5.0,"Winner: Argument 2
Confidence: 5",qwen
qwen,We should legalize sex selection,llama,qwen,False,llama,qwen,108,50,0.17880606651306152,4.0,"Winner: Argument 2
Confidence: 4",qwen
allam,We should legalize sex selection,llama,qwen,False,llama,qwen,108,50,0.29526400566101074,5.0,"Winner: Argument 2
Confidence: 5",qwen
llama,Routine child vaccinations should be mandatory,allam,llama,True,llama,allam,93,53,0.1976790428161621,5.0,"Winner: Argument 1
Confidence: 5",llama
qwen,Routine child vaccinations should be mandatory,allam,llama,True,llama,allam,93,53,0.27765583992004395,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,Routine child vaccinations should be mandatory,allam,llama,True,llama,allam,93,53,0.32395386695861816,5.0,"Winner: Argument 2 
Confidence: 5",allam
llama,Routine child vaccinations should be mandatory,allam,qwen,True,qwen,allam,40,53,0.27301478385925293,4.0,"Winner: Argument 1
Confidence: 4",qwen
qwen,Routine child vaccinations should be mandatory,allam,qwen,True,qwen,allam,40,53,0.1480121612548828,4.0,"Winner: Argument 1
Confidence: 4",qwen
allam,Routine child vaccinations should be mandatory,allam,qwen,True,qwen,allam,40,53,0.4168829917907715,5.0,"Winner: Argument 1
Confidence: 5",qwen
llama,Routine child vaccinations should be mandatory,llama,qwen,False,llama,qwen,93,40,0.6260161399841309,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,Routine child vaccinations should be mandatory,llama,qwen,False,llama,qwen,93,40,0.5159978866577148,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,Routine child vaccinations should be mandatory,llama,qwen,False,llama,qwen,93,40,0.5618720054626465,4.0,"Winner: Argument 1
Confidence: 4",llama
llama,We should abandon the use of school uniform,allam,llama,False,allam,llama,62,76,0.14612913131713867,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should abandon the use of school uniform,allam,llama,False,allam,llama,62,76,0.1701030731201172,4.0,"Winner: Argument 2
Confidence: 4",llama
allam,We should abandon the use of school uniform,allam,llama,False,allam,llama,62,76,0.2925758361816406,5.0,"Winner: Argument 2 (5)
Confidence: 5",llama
llama,We should abandon the use of school uniform,allam,qwen,True,qwen,allam,40,62,0.3025801181793213,4.0,"Winner: Argument 1
Confidence: 4",qwen
qwen,We should abandon the use of school uniform,allam,qwen,True,qwen,allam,40,62,0.42354583740234375,3.0,"Winner: Argument 1
Confidence: 3",qwen
allam,We should abandon the use of school uniform,allam,qwen,True,qwen,allam,40,62,0.32625603675842285,3.0,"Winner: Argument 1, Neither; Confidence: 3",NEITHER
llama,We should abandon the use of school uniform,llama,qwen,True,qwen,llama,40,76,0.19809579849243164,5.0,"Winner: Argument 2
Confidence: 5",llama
qwen,We should abandon the use of school uniform,llama,qwen,True,qwen,llama,40,76,0.28609704971313477,3.0,"Winner: Argument 1
Confidence: 3",qwen
allam,We should abandon the use of school uniform,llama,qwen,True,qwen,llama,40,76,0.3384740352630615,4.0,"Winner: Argument 2 (We should abandon the use of school uniform)
Confidence: 4",llama
llama,The vow of celibacy should be abandoned,allam,llama,False,allam,llama,70,85,0.2314281463623047,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,The vow of celibacy should be abandoned,allam,llama,False,allam,llama,70,85,0.3000650405883789,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,The vow of celibacy should be abandoned,allam,llama,False,allam,llama,70,85,0.3004148006439209,4.0,"Winner: Argument 2
Confidence: 4",llama
llama,The vow of celibacy should be abandoned,allam,qwen,True,qwen,allam,58,70,0.13514018058776855,5.0,"Winner: Argument 1
Confidence: 5",qwen
qwen,The vow of celibacy should be abandoned,allam,qwen,True,qwen,allam,58,70,0.5044081211090088,4.0,"Winner: Argument 1
Confidence: 4",qwen
allam,The vow of celibacy should be abandoned,allam,qwen,True,qwen,allam,58,70,0.30988121032714844,,"Winner: Argument 1, 4 (I am fairly confident in my selection)",qwen
llama,The vow of celibacy should be abandoned,llama,qwen,True,qwen,llama,58,85,0.3177759647369385,5.0,"Winner: Argument 1
Confidence: 5",qwen
qwen,The vow of celibacy should be abandoned,llama,qwen,True,qwen,llama,58,85,0.16980504989624023,4.0,"Winner: Argument 1
Confidence: 4",qwen
allam,The vow of celibacy should be abandoned,llama,qwen,True,qwen,llama,58,85,0.3264780044555664,5.0,"Winner: Argument 1
Confidence: 5",qwen
llama,Assisted suicide should be a criminal offence,allam,llama,False,allam,llama,94,96,0.15130901336669922,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,Assisted suicide should be a criminal offence,allam,llama,False,allam,llama,94,96,0.2940948009490967,4.0,"Winner: Argument 2
Confidence: 4",llama
allam,Assisted suicide should be a criminal offence,allam,llama,False,allam,llama,94,96,0.6264448165893555,4.0,"Winner: Argument 1
Confidence: 4",allam
llama,Assisted suicide should be a criminal offence,allam,qwen,False,allam,qwen,94,53,0.5224990844726562,5.0,"Winner: Argument 1
Confidence: 5",allam
qwen,Assisted suicide should be a criminal offence,allam,qwen,False,allam,qwen,94,53,0.2333078384399414,3.0,"Winner: Argument 1
Confidence: 3",allam
allam,Assisted suicide should be a criminal offence,allam,qwen,False,allam,qwen,94,53,0.4980769157409668,4.0,"Winner: Argument 1
Confidence: 4",allam
llama,Assisted suicide should be a criminal offence,llama,qwen,False,llama,qwen,96,53,0.21045875549316406,3.0,"Winner: Argument 1
Confidence: 3",llama
qwen,Assisted suicide should be a criminal offence,llama,qwen,False,llama,qwen,96,53,0.7083277702331543,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,Assisted suicide should be a criminal offence,llama,qwen,False,llama,qwen,96,53,0.3108100891113281,4.0,"Winner: Argument 1
Confidence: 4",llama
llama,We should end affirmative action,allam,llama,True,llama,allam,70,54,0.2041630744934082,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,We should end affirmative action,allam,llama,True,llama,allam,70,54,0.4323241710662842,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,We should end affirmative action,allam,llama,True,llama,allam,70,54,0.3296940326690674,5.0,"Winner: Argument 1
Confidence: 5",llama
llama,We should end affirmative action,allam,qwen,True,qwen,allam,53,54,0.20024704933166504,4.0,"Winner: Argument 1
Confidence: 4",qwen
qwen,We should end affirmative action,allam,qwen,True,qwen,allam,53,54,0.21592402458190918,4.0,"Winner: Argument 1
Confidence: 4",qwen
allam,We should end affirmative action,allam,qwen,True,qwen,allam,53,54,0.4899139404296875,5.0,"Winner: Argument 1 (5)
Confidence: 5",qwen
llama,We should end affirmative action,llama,qwen,False,llama,qwen,70,53,0.1679699420928955,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,We should end affirmative action,llama,qwen,False,llama,qwen,70,53,0.22539305686950684,3.0,"Winner: Argument 1
Confidence: 3",llama
allam,We should end affirmative action,llama,qwen,False,llama,qwen,70,53,0.2945411205291748,4.0,"Winner: Argument 2
Confidence: 4",qwen
llama,We should ban cosmetic surgery,allam,llama,False,allam,llama,66,74,0.5063121318817139,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should ban cosmetic surgery,allam,llama,False,allam,llama,66,74,0.5138230323791504,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should ban cosmetic surgery,allam,llama,False,allam,llama,66,74,0.5083110332489014,4.0,"Winner: Argument 1 
Confidence: 4",allam
llama,We should ban cosmetic surgery,allam,qwen,True,qwen,allam,45,66,0.1562659740447998,5.0,"Winner: Argument 1
Confidence: 5",qwen
qwen,We should ban cosmetic surgery,allam,qwen,True,qwen,allam,45,66,0.16283679008483887,4.0,"Winner: Argument 2
Confidence: 4",allam
allam,We should ban cosmetic surgery,allam,qwen,True,qwen,allam,45,66,0.29600000381469727,4.0,"Winner: Argument 1
Confidence: 4",qwen
llama,We should ban cosmetic surgery,llama,qwen,True,qwen,llama,45,74,0.19347405433654785,5.0,"Winner: Argument 1
Confidence: 5",qwen
qwen,We should ban cosmetic surgery,llama,qwen,True,qwen,llama,45,74,0.217512845993042,3.0,"Winner: Argument 1
Confidence: 3",qwen
allam,We should ban cosmetic surgery,llama,qwen,True,qwen,llama,45,74,0.35636186599731445,4.0,"Winner: Argument 1
Confidence: 4",qwen
llama,We should close Guantanamo Bay detention camp,allam,llama,False,allam,llama,51,71,0.19549798965454102,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should close Guantanamo Bay detention camp,allam,llama,False,allam,llama,51,71,0.15501999855041504,4.0,"Winner: Argument 1
Confidence: 4",allam
allam,We should close Guantanamo Bay detention camp,allam,llama,False,allam,llama,51,71,0.7982251644134521,5.0,"Winner: Argument 2 
Confidence: 5",llama
llama,We should close Guantanamo Bay detention camp,allam,qwen,True,qwen,allam,59,51,0.16313409805297852,4.0,"Winner: Argument 1
Confidence: 4",qwen
qwen,We should close Guantanamo Bay detention camp,allam,qwen,True,qwen,allam,59,51,0.25307321548461914,2.0,"Winner: Argument 1
Confidence: 2",qwen
allam,We should close Guantanamo Bay detention camp,allam,qwen,True,qwen,allam,59,51,0.632206916809082,4.0,"Winner: Argument 1
Confidence: 4",qwen
llama,We should close Guantanamo Bay detention camp,llama,qwen,True,qwen,llama,59,71,0.3261282444000244,4.0,"Winner: Argument 2
Confidence: 4",llama
qwen,We should close Guantanamo Bay detention camp,llama,qwen,True,qwen,llama,59,71,0.24053311347961426,3.0,"Winner: Argument 1
Confidence: 3",qwen
allam,We should close Guantanamo Bay detention camp,llama,qwen,True,qwen,llama,59,71,0.32890820503234863,,Winner: Argument 1 (5),qwen
llama,The use of public defenders should be mandatory,allam,llama,True,llama,allam,76,72,0.15745902061462402,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,The use of public defenders should be mandatory,allam,llama,True,llama,allam,76,72,0.41245174407958984,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,The use of public defenders should be mandatory,allam,llama,True,llama,allam,76,72,0.6248729228973389,5.0,"Winner: Argument 1 (5)
Confidence: 5",llama
