question,answer_text,answer_aliases
"Which BBC TV sitcom about a retired security guard was set at 37 Wyngate Drive in the first series then at 19, Riverbank for the final 5 series?",List of One Foot in the Grave characters,mrs warboys|jean warboys|mit einem bein im grab|meldrew|ofitg|one foot in grave|margaret meldrew|4291|list of one foot in grave characters|List of One Foot in the Grave characters|One Foot in the Grave
Zebu cattle are famously distinguished by?,Hump,humps|humping disambiguation|humping|hump|hump disambiguation|Hump (disambiguation)|Humping (disambiguation)|A hump
Which European country has the world’s oldest national flag?,Eastern Denmark,dinamarca|denmarc|danimarca|mainland denmark|denmarke|kingdom of denmark|danemark|danmoerk|denmark|danska|danmork|denemarke|media of denmark|iso 3166 1 dk|danish kingdom|daenemark|kingdomofdenmark|administrative divisions of denmark|dänemark|subdivisions of denmark|kongeriget danmark|danmörk|eastern denmark|denmark proper|media in denmark|ISO 3166-1:DK
"What is the common name for Hydrocephalus, a pathological condition whereby fluid is retained within the skull?",Hydrocephalic,"hydrocephalic|hydroencephalitis|hydrocaphlus|hydrocephlas|hydrocephallus|hydrocephalous|hydrocephalus|hydrocephalia|communicating hydrocephalus|obstructive hydrocephalus|hydrocephaly|water in brain|water on brain|congenital hydrocephalus|non communicating hydrocephalus|hydrocephalus obstructive|Hydrocephalus, obstructive|Water in the brain|Non-communicating hydrocephalus|Water on the brain"
What synthetic fiber is used in most bulletproof vests?,Kevlar,kevlar k 29|poly paraphenylene terephthalamide|keflar|kevlar r|kevlar|Kevlar K-29|Poly-paraphenylene terephthalamide|Kevlar(r)
Who had a 60s No 1 hit with This Diamond Ring?,Dave Gonzalez (Gary Lewis & the Playboys),gary lewis and playboys|dave gonzalez gary lewis playboys|gary lewis playboys|Dave Gonzalez (Gary Lewis & the Playboys)|Gary Lewis & the Playboys|Gary Lewis and The Playboys
"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",Jumangi,jumanji movie|jumanji 2016 film|jumanji film|sam parrish|jumanji 3|jumangi|jumanij|carl bentley|jumanji reboot|jumanji 2014 film|jumanji 2|jumanji|jumanji 2015 film|sarah whittle|Jumanji (reboot)|Jumanji (film)|Jumanji (movie)|Jumanji (2014 film)|Jumanji (2016 film)|Jumanji (2015 film)
‘Loitering With Intent’ is a 1993 autobiography by which British actor?,Peter o toole,peter o toole|peter seamus o toole|peter seamus lorcan o toole|peter otoole|Peter O' Toole|Peter Seamus Lorcan O'Toole|Peter Seamus O'Toole|Peter O'Toole|Peter O’Toole
"In Switzerland, 1978, the corpse of which entertainer was reburied in concrete after it was recovered from extortionists?",Roy Export Company Establishment,sir charlie chaplin|charlie chaplan|charlie chaplain|sir charles chaplin|roy export company establishment|charles chaplin|charles spencer chaplin|charlie chaplin|charile chaplin|sir charles spencer chaplin|charliechaplin|chaplinian
"Translating from the Greek as ""separating circle"", what is the name of the apparent line that separates the earth from the sky?",Horizon distance,horizon distance|offings|horizen|horizon|ὁρίζειν|The horizon
Which member of the cabinet is MP for Maidenhead?,Theresa Mary May,theresa mary may|theresa may
What was the French sounding winner of the 2011 Epsom Derby?,Pour Moi,pour moi
In Architecture what are a series of short upright pillars supporting a coping or rail called?,Baluster,balustrade|balustrading|balustrades|balistrade|baluster shaft|banister|balusters|baluster|baristrade|balaustrade|baluster leg|balluster|balaustrates|baluster side|balustroid|Baluster-side|Baluster-shaft
David Balfour and Alan Breck are characters in books by which author?,Robert Lewis Balfour Stevenson,robert l stevenson|robert lewis stevenson|le pickleur|robert lewis balfour stevenson|virginibus puerisque|r l stevenson|apology for idlers|robert louis balfour stevenson|robert louis stevenson|robert louis stephenson|rl stevenson|An Apology for Idlers|R. L. Stevenson|R.L. Stevenson|Robert L. Stevenson
In which country will you find the 'Carisbrook Rugby Stadium'?,N Z,"newzealand|new zealand|aotearoa|kiwistan|new zeland|staten land|staten landt|neo zealand|new zeeland|mew zealand|new zealand s|new zealend|iso 3166 1 nz|nova zeelandia|aotearoa new zealand|nu tirani|subdivisions of new zealand|n zealand|new zealnd|new zealnad|new xealand|administrative divisions of new zealand|maoriland|nzl|niu tireni|new z|its got that new zeal|n z|name of new zealand|enzed|nz|new zaeland|new zelanad|sheepland|etymology of new zealand|kiwiland|māoria|staaten land|nouvelle zelande|Nouvelle-Zelande|New Zealand's|New Zealand.|New Zealand,|New+Zealand|ISO 3166-1:NZ|Aotearoa / New Zealand|New-Zealand|N.Z.|New.Zealand|N. Zealand"
Facebook's new music sharing/streaming feature launched in 2015 was called 'Music... ?,Story,stories disambiguation|story album|story disambiguation|stories album|stories|story song|stories song|story|Stories (disambiguation)|Stories (album)|Story (disambiguation)|Stories (song)|The Story|Story (song)|The story (song)|Story (album)
Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England","richard of gloucester|car park king|richard iii of england|dick iii|richard iii england|richard 3|king richard iii of england|search for richard iii|richard iii of york|richard iii|richard iii king of england|king richard iii|richard third|richard 3rd|Richard III, King of England|Richard III (England)|Richard the Third"
Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,dinosaur types of jurassic|jurassic geology|jurassic period|jurasic|jurassic|jurassic era|jurassic system|jurrasic|Dinosaur types of the jurassic|Jurassic ( geology)
Justine Thornton is the fiancee of which politician?,Red Ed,ed milliband|red ed|tom baldwin journalist|ed miliband|edward miliband|Tom Baldwin (journalist)
In which county would you find Chesil Beach?,County of Dorset,"dorset england|county of dorset|dorsetshire|dorset|dorcet|Dorset, England|Dorset (England)"
"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,tinna turner|tina turner s|tina turner|tina tuner|anna bullock|annie mae bullock|anna mae bullock|Tina Turner's
Chi is the Chinese year of what?,Cock (disambiguation),cock|cock disambiguation|cocks|Cock (disambiguation)
Who was the second wife of Henry VIII?,Anne Boylen,"anne bullen|anne boylen|anne boleyn 1st marchioness of pembroke|anna bollina|anne bolyn|ann bullen|anne boullant|queen anne boleyn|ann boleyn|anne boleyn|anne boelyn|Anne Boleyn, 1st Marchioness of Pembroke"
Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,"ruyard kipling|rudyard kipling|kiplingian|r kipling|joseph rudyard kipling|bard of empire|kipling rudyard|rudy kipling|kipling|kiplingesque|rudyard kipling author|kipling society|kipling joseph rudyard|Kipling, Joseph Rudyard|R. Kipling|Rudyard Kipling (author)"
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,john astin
"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,foot sweat|foot fracture|human feet|foot fractures|human foot|foot type|foot dorsum|joints of foot|foot deformities|instep|articulationes pedis|foot|articulatio pedis|insteps|dorsum of foot|pedis|muscles of feet|articulations of foot|feet|foot muscles|plates of meat|foot taboo|broken foot|foot anatomy|Muscles of the Feet|Joints of the foot|Foot (anatomy)
If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,"westvirginia|us wv|wv|west virginia|demographics of west virginia|35th state|loyal virginia|w v|state of west virginia|wes virginia|west virgina|religion in west virginia|west vrignia|climate of west virginia|thirty fifth state|mountain state|west virginia state|counties and important towns in west virgina|state symbols of west virginia|symbols of state of west virginia|west virginia u s state|counties and important towns in west virginia|virginie occidentale|w va|west virginia united states|sports in west virginia|Thirty-fifth State|US-WV|W.v.|West Virginia (U.S. state)|West Virginia (State)|Symbols of the State of West Virginia|The Mountain State|W.Va.|W. Va.|Virginie-Occidentale|West Virginia, United States|Wv."
"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,"allan turing|alan turing|alan turning|turing|alan mathison turing|alan mathison turing obe frs|christopher morcom|alan m turing|turing m|allen touring|m turing|Alan M. Turing|A. Turing|A. M. Turing|Turing, A.M.|Alan Mathison Turing, OBE, FRS"
What is Chandler's surname in Friends,Bing.com,bing web search engine|bing local|bing sidebar|bing images|bing bing search engine|ms bing|bing com|bing answers|bing explore|bing|bing visual search|bing and decide|bing search engine|msn search|bing web|bing website|bing search engine old version|bing rewards|hiybbprqag|tour bing|windows live search|bing it on|terabyte unlimited|bing community|microsoft bing|live search|bing sting|bing search|bing it|kumo search engine|bing api|bing visual search galleries beta|bing visual search galleries|get to know bing|必应|microsoft search|Bing.com|Bing (Search Engine)|Bing (website)|Kumo (search engine)|Bing (Bing search engine)|Bing (search engine)/old version|Bing (search)|Bing (web search engine)
Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,electoral career of mickey mouse|mickey mouse operation|mickey mouse operations|micky mouse|miki mouse|mickey mouse|Mickey the mouse
"In which city would you find the International Court of Justice, otherwise known as The World Court?",The hague,"s gravenhage|haig|s 60gravenshage|municipality of hague|un locode nlhag|hague|den hague|gravenhage|hauge|lahey|den haag|hague netherlands|den hagg|The hague|Hague, Netherlands|The Hauge|UN/LOCODE:NLHAG|'s-Gravenhage|The haig|Hague, The|S%60Gravenshage|S-Gravenhage|'s Gravenhage|’s-Gravenhage|The Hague, Netherlands|The Hague, The Netherlands|Municipality of The Hague"
Which Scottish author who died in 1930 had Ignatius as one of his christian names?,A Conan Doyle,"arthur c doyle|doyle arthur conan|arthur ignatius conan doyle|arthur conan doyle s|arthur conan doyle|doylean|sir arthur conan doyle|sir arthur doyle|sir conan doyle|conan doyle|doyle sir arthur conan|arthur conan ignatius sir doyle|arthur conan ignatius doyle|sir arthur ignatius conan doyle|conan doyle sir arthur|A Conan Doyle|Arthur Conan-Doyle|Arthur Conan Ignatius, Sir Doyle|Doyle, Arthur Conan|Doyle, Sir Arthur Conan|Arthur C. Doyle|Arthur Conan Doyle's|Conan Doyle, Sir Arthur|A. Conan Doyle"
"In 2009, who became the first woman to referee the World Snooker Championship final?",Michaela Tabb,michaela tabb
What is the chief river of Burma ?,IRRAWADDY,irrawaddy|The Irrawaddy
What is a dish of pickled herring fillets wrapped around an onion or gerkhin called,Rollmop,rollmops|rollmop|german sushi|roll mop
"Known as The Hoosier State, what was the 19th state to join the Union on december 11, 1816?","Indiana, United States","19th state|indiana state|education in indiana|transportation in indiana|state of indiana|religion in indiana|indiana usa|hoosier state|indiana|climate of indiana|indiana u s state|northeastern indiana|indana|commonwealth of indiana|ind|transport in indiana|nineteenth state|demographics of indiana|indiania|indiana united states|us in|Indiana, United States|The Hoosier State|Ind.|Indiana, USA|Indiana (U.S. state)|Indiana (State)|US-IN|The Commonwealth of Indiana"
What was President Gerald Ford's middle name?,Rudolph (disambiguation),rudolf|rudolph|rodolphe|rudolph disambiguation|rodolph|Rudolph (disambiguation)
Which illness is commonly treated with the drugs lisinopril and ramipril?,Hypertensive diseases,symptoms of hypertension|high bp|laboratory tests for hypertension|arterial hypertension|hypertention|accelerated hypertension|awareness of hypertension|hyper tension|hypertension|high blood|elevated blood pressure|diagnosis of hypertension|prognosis of hypertension|hyperpiesia|rebound hypertension|refractory hypertension|raised blood pressure|hypertensive disorders|hyperpieses|chronic hypertension|classification of hypertension|epidemiology of hypertension|high blood pressure|hypertensive|signs and symptoms of hypertension|causes of hypertension|hypertensive disorder|prevention of hypertension|hypertensive disease|adrenal hypertension|hypertensive diseases|increased blood pressure|signs of hypertension|economics of hypertension|residual hypertension|Elevated blood-pressure
The 'naut' in the words 'astronaut' and 'aeronaut' meant originally what?,Merchant mariner,sailor|expert seamen|mariner|seafarers|boatmen|boatmanship|merchant mariner|seafarer|sailors
"Written by Earl Derr Biggers in 1925, 'The House Without A Key' was the first novel to feature which Chinese- American detective?",Charlie Chan,number one son|birmingham brown|charlie chan|charley chan
Which Palestinian co-founded al Fatah in 1957?,Yasir Arafat,death of yasser arafat|محمد عبد الرحمن عبد الرؤوف عرفات القدوة الحسيني|yasir arafat disambiguation|abū 60ammār|yassir arafat|illness of yasser arafat|yassar arafat|abu ammar|muhammed al qudwa al husseini|yasir arafat|ashraf al kurdi|muhammad abd ar rauf al qudwah al husayni|yasser arafet|yasser arafat|yaser arafat|mohammed abdel raouf arafat as qudwa al hussaeini|mohammed abdel rahman abdel raouf arafat al qudua al husseini|mohammed abdel rahman abdel raouf arafat al qudwa al husseini|death of arafat|jassir arafat|abu amar|Yasir 'Arafat|Yasser 'Arafat|Abū %60ammār|Mohammed Abdel Rahman Abdel Raouf Arafat al-Qudwa al-Husseini|Ashraf al-Kurdi|Muhammad Abd ar-Rauf al-Qudwah al-Husayni|Mohammed Abdel-Raouf Arafat As Qudwa al-Hussaeini|Muhammed al-Qudwa al-Husseini|Yasir Arafat (Disambiguation)
Who was the longest reigning British king?,"George III, King of Great Britain and Ireland","george iii of england|george iii guelph|george william frederick|king george iii|king george 3rd|farmer george|mad king george|george iii of corsica|george iii of uk|george iii|george iii king of great britain|george iii of great britain|george iii of hanover|king george iii of united kingdom|george iii of united kingdom|george iii of britain|george iii 22the mad 22 of united kingdom|king george 3 of united kingdom|king george 3|george iii king of great britain and ireland|george iii of scotland|king george iii of great britain|list of titles and honours of king george iii|george iii of great britain and ireland|george third|George III, King of Great Britain and Ireland|King george the 3rd|George III, King of Great Britain|George iii of the united kingdom|King George III of the United Kingdom|George the Third|George III of the UK|George III %22the Mad%22 of the United Kingdom|King George 3 of the United Kingdom"
Who opened the Sydney Opera House in 1973,The Queen (disambiguation),queen album|queen disambiguation|queen|queen song|The Queen (disambiguation)|The Queen (album)|The Queen|The Queen (song)
In the 'Jungle Book' what type of creature was 'Bagheera'?,Panther athletics,panther disambiguation|panther|panthers|panther athletics|The Panthers|Panther (disambiguation)
Which iconic British female singer made the highly regarded album titled '(her first name) in Memphis' ?,Dusty springfield,mary isabel catherine bernadette o brien|dusty springfield|mary isobel catherine bernadette o brien|dusty springfield s personality|dusty springfield s sexuality|dusty very best of dusty springfield|Dusty Springfield's sexuality|Dusty - The Very Best Of Dusty Springfield|Mary Isobel Catherine Bernadette O'Brien|Mary Isabel Catherine Bernadette O'Brien|Dusty Springfield's personality
What was the name of the private eye played by Trevor Eve on TV in the '70s?,Shoestring (TV series),shoestring tv series|eddie shoestring|Shoestring (TV series)
"Which country occupying 47% of South America has states including Amazonas, Sao Paulo, Bahia and Para?",Brazil,federative republic of brazil|brazil country|brésil|republica federativa do brasil|iso 3166 1 br|bresil|etymology of brazil|federal republic of brazil|brassil|barzil|brazilian republic|brazil|república federativa do brasil|brazilo|brasil|republic of brazil|brazilian federative republic|brzil|Brazil (country)|ISO 3166-1:BR
Which English town's Anglo Saxon name was Gipeswic pronounced Gipperswick,"Ipswich, UK","ipswich|ipswich suffolk|west bank terminal|gipeswic|ipswich uk|gippeswick|ipswich england|ipswich suffolk england|gippeswic|Ipswich, UK|Ipswich, Suffolk|Ipswich, England|Ipswich, Suffolk, England"
In which English county is there a town called Shitlingthorpe,County Yorkshire,"yorkshire county|yorkshire england|yorkshire uk|name of yorkshire|county of yorkshire|yorkshire|yorkshuh|yorkshire traditional|yorkshireman|god s own county|county yorkshire|yorks|vorkshire|yorkshiremen|york county england|counties of yorkshire|Yorkshire (England)|York County, England|Yorkshire (UK)|Yorkshire, England|Yorkshire (traditional)|God's own county"
What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,Rick Blaine,"play it sam|casablanca 1942|casablanca feature film|ilsa lund|casablanca film|here s looking at you|rick blaine|rick s café américain|casablanca movie|play it once sam|here s looking at you kid|victor laszlo|round up usual suspects|richard blaine|Here's Looking at You|Rick's Café Américain|Casablanca (feature film)|Casablanca (film)|Play it once, Sam|Round up the usual suspects|CASABLANCA (1942)|Here's looking at you, kid.|Here's looking at you, kid|Casablanca (movie)|Play it, Sam"
The archaeological site of the ancient city of Troy is in which country?,Turkey,turkey|tuerkiye|türkiye respublikası|republic of turkiye|tuerkei|etymology of turkey|türkiye|turkiye|tuerkiye cumhuriyeti|türkiye cumhuriyeti|republic of turkey|turky|turkish republic|türkiye respublikasi|turquia|iso 3166 1 tr|turkey nation|turkia|terky|turkei|turkie|turkey state|türkei|turquie|turkiye cumhuriyeti|turkey country|Turkey (country)|ISO 3166-1:TR|Turkey (state)|The Republic of Turkey|Turkey (nation)
‘The Crafty Cockney’ was the nickname of which British darts player?,Crafty Cockney,eric bristow|crafty cockney|The Crafty Cockney
"In Greek legend, who turned everything he touched into gold ?",Midas and the Golden Touch,midas gardens|berecynthain hero|midas and golden touch|midas curse|touch of midas|king midas|midas touch|midas|Midas and the Golden Touch|Midas' touch|The Berecynthain Hero
Which was the second British motorway,M1 (disambiguation),m1 disambiguation|м 1|m01 highway|m1|m01|m 1 highway|m 1|M1 (disambiguation)|M.1|M-1|M-1 (highway)|М-1
Dame Judi Dench and which other actress played the Widdington sisters in the 2004 film Ladies in Lavender?,Dame Maggie Smith,"dame margaret natalie smith cross|maggy smith|margaret natalie smith cross|dame smith|dame maggy smith|dame m n smith|dame margaret natalie smith|margaret natalie smith cross dbe|dame maggie smith|dame margaret smith|maggie smith|dame margaret natalie smith cross dbe|Dame Margaret Natalie Smith Cross, DBE|Margaret Natalie Smith Cross, DBE|Dame M. N. Smith"
"In 1657, who turned down the opportunity to become King of England?",Cromwell,"oliver cromwell lord protector|cultural depictions of oliver cromwell|o cromwell|cromwell s|noll cromwell|oliver cromwell s|oliver cromwell person|old noll|copper nose|cromwell oliver lord protector|lord protector oliver cromwell|cromwell|oliver cromwell|cromwell oliver|cromwellian|Cromwell, Oliver|Oliver Cromwell (person)|Oliver Cromwell (Lord Protector)|Cromwell's|Oliver Cromwell's|Cromwell, Oliver (Lord Protector)"
What is either a type of wood or an African-American magazine?,St Helena Ebony,diospyros hebecarpa|diospyros glaberrima|ebony|st helena ebony|madagascar ebony
