question,correct_answer,llama_answer,qwen_answer,allam_answer
Which ‘P’ describes the chasing pack in a cycling race?,Pelaton,Peloton.,Peloton,Pursuit
On which British holiday did the 2004 tsunami occur?,Second Christmas Day,Boxing Day.,Boxing Day,Boxing Day
The 2014 'Bendgate' controversy/publicity concerned version 6 of which famous product?,Bendgate,Apple iPhone.,iPhone 6 Plus,iPhone
What is the 3rd largest car rental company in the United States?,The alamo,Enterprise Rent-A-Car.,Enterprise Rent-A-Car,Enterprise Rent-A-Car
Who was the first African American holder of the world heavyweight boxing title?,Jack Johnson,Jack Johnson.,Joe Louis,Muhammad Ali
"From which country do French fries originate? France, Belgium or Switzerland?",ISO 3166-1:CH,Belgium.,Belgium,France
"""What Latin expression means """"Seize the Day""""?""",Carpe diem quam minimum credula postero,"""Carpe Diem.""",Carpe Diem,Carpe diem
"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",'CRIMSON TIDE',Crimson Tide.,Crimson Tide,"The film is ""The Siege"" (1998), which stars Denzel Washington and Gene Hackman. The Siege is a 1998 American political thriller film directed by Tony Scott and starring Denzel Washington, Bruce"
Which was the first commercial jet airliner to go into service in the UK?,Cometary nuclei,de Havilland Comet.,De Havilland Comet,De Havilland Comet
"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?",Brain (Top Cat character,Top Cat.,George Kelly,"The leader of the gang mentioned in the question is Little Caesar. 

Little Caesar was a fictional character and the protagonist in a series of films and books, often portrayed as a gangster or mob boss."
‘Hampsteads’ is Cockney rhyming slang for what?,Tooth root,Stairs.,Hampstead Heath,Heads
What was the scene of the final defeat of the Jacobites under Charles Edward by forces under the command of the Duke of Cumberland on 16 April 1746?,Culloden,Culloden Moor.,Battle of Culloden,Culloden Moor
"Ushuaia, which is now generally accepted as the southernmost city in the world, is in which country?",Arxintina,Argentina.,Argentina,Argentina
What English expression for a long complex procedure derived from a old legal document called a ragman roll?,Rigmarole,Ragtag.,Red tape,Red tape
Beloved in 1999 was whose first movie since The Color Purple in 1985?,Oprah,Beloved was Oprah Winfrey's first movie since The Color Purple in 1985.,Steven Spielberg,Oprah Winfrey
What was the name of Butch Cassidy's gang,Hole in the Wall gang,The Wild Bunch.,The Wild Bunch,The Sundance Kid and the Wild Bunch
What type of camel has two humps?,Bactrian,Bactrian camel.,Bactrian camel,Bactrian camel
What word is used to mean the dead skin at the base of a fingernail?,Cuticles,Eponychium.,Cuticle,Nail bed.
What does an octopus spray when threatened?,Ink,Ink.,Ink,Ink (or ink sac)
"The English towns of Abingdon, Wallingford and Marlow lie on which river?",Theems,The River Thames.,River Thames,Thames
What song was a hit for Tom Jones and Cerys Matthews in 1999?,It's Cold Outside,"""Baby, It's Cold Outside"".",Sex Bomb,"""It's Not Unusual"""
What lake can be found on the border of Vermont and New York?,Champlain Lake,Lake Champlain.,Lake Champlain,Lake Champlain
"What spirit, in Ireland and Scotland, makes noises near a house when someone is about to die?",Bean sidhe,The Banshee.,The Banshee,Banshee
"Frenchman Maurice André, who attributed his stamina and breath control to his teenage years as a coal miner, was a famous virtuoso player of what instrument?",Trumpet.,The French horn.,Trumpet,Trombone
Complete this boxing phrase 'The Thriller in'?,"Manila, Phillipine Islands",Manila.,Mill Valley,Manila
What drinking vessel supposedly confers eternal life on those who drink from it?,Sangrael,The Holy Grail.,The Holy Grail,The Elixir of Life or the Philosopher's Stone
"April 5, 1614 saw early American settler and tobacco exporter John Rolfe marry who?",Pocahontas (Pocahontas),Pocahontas.,Pocahontas,Pocahontas
What is the fin called underneath the rear of a surfboard?,Skeg (surfing),"The fin is called a ""stabilizer"" or more specifically, a ""center fin"" or ""single fin"".",Swing fin,"The fin called underneath the rear of a surfboard is typically referred to as the ""tail fin"" or ""rudder fin""."
"""After stints backing Little Richard and the Isley Brothers, who was discovered leading """"Jimmy James and the Blue Flames"""" at the Caf Wha? in New York and taken to London on 26 September 1966 to make hit records?""",Hendrix,Eric Clapton.,Eric Clapton,David Bowie
Which country is known to its people as Suomen Tasavalta?,FinlanD,Finland.,Finland,Finland
In which year did St George die?,three hundred and three,303 AD.,303 AD,304 AD
Who allegedly solved the riddle of the Gordian knot simply by slicing it with his sword?,Μέγας Ἀλέξανδρος,King Alexander the Great.,Alexander the Great,Alexander the Great
Nick Begs was lead singer with which 80’s pop band?,Kaja Googoo,New Kids on the Block.,The Communards,Bananarama
As at 2012 Goulburn Correctional Centre is considered the highest security prison of which country?,Australia (Commonwealth realm),Australia.,Australia,Australia
What is the name of Tokyo's seaport ?,横浜,Tokyo Port.,Tokyo Port,Tokyo Port
"Located in North Carolina, which is both the highest mountain in the Appalachians and the highest mountain east of the Mississippi?",Mount Mitchell,Mount Mitchell.,Mount Mitchell,Mount Mitchell
"What speaker component is used to produce the highest audio frequencies, usually between 2,000HZ and 20,000HZ?",Piezo tweeter,Tweeter.,Tweeter,Tweeter
Who on TV is the Naked Chef,Jools oliver,Jamie Oliver.,Jamie Oliver,Jamie Oliver
What name was given to the floating harbours used on D-Day?,Mulberry tea,Mulberry Harbours.,Mulberry harbours,Mulberry Harbours
Las Vegas is situated in which US State?,Silver State,Nevada.,Nevada,Nevada
"What is the name of the system of stellar designation in which a specific star is identified by a Greek letter (then Latin letters in lower-case then upper-case), followed by the genitive form of its parent constellation's Latin name (e.g. Tauri)?",Bayer's Name,Bayer designation.,Bayer designation,Alpha Centauri
David Tyler is the current chairman of which leading supermarket chain?,Sainsburys.com,I'm not aware of that information.,Sainsbury's,Tesco
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rifkah,Rebecca.,Rebecca,Psycho
Who had a 60s No 1 with Downtown?,Petula Clark,Petula Clark.,Petula Clark,Petula Clark
Jimi Hendrix presented the broken parts of the guitar that he destroyed on-stage at the 1968 Miami Pop Festival to whom? Not sure if the recipient named it Moon Unit.,Frank zappa,Noel Redding.,Moon Unit Zappa,Moon Unit Zappa.
"""From which Beatles song do the following lyrics come, """"Nothing's going to change my world""""?""",Across The Universe,"""Change""",Nothing's going to change my world,"""Here Comes the Sun"""
Which “Thom” is Radiohead’s lead singer and principal songwriter?,Youwouldn’tlikemewhenI’mangry,Thom Yorke.,Thom Yorke,Thom Yorke
Which former British PM was christened “Grocer” by Private Eye?,Sir Edward Heath,John Major.,John Major,Harold Wilson
In which sport would you see someone slam-dunking the ball?,Basketball,Basketball.,Basketball,Basketball
"In Greek mythology, who was the mother of Perseus visited by Zeus disguised as a shower of gold?",Danaë,Danaë.,Danaë,Danaë
Captain Corelli's mandolin is a book a film set in which country,Yunanistan,Greece.,Greece,Greece
"""The American film made at the very start of the sound film era, """"All Quiet on the Western Front"""" (1930), on the grimness of warfare in WWI was banned in Germany (after a brief run in 1930) not unexpectedly, but also where?""",Australia (Commonwealth realm),The United Kingdom.,Japan,Italy
Which is the largest cat in the world?,Manchurian Tiger,Siberian tiger.,The tiger,Siberian tiger
"Which French winner of the Nobel Prize for Literature, famously dedicated it to his primary school teacher?",The Blood of the Hungarians,François Mauriac.,Albert Camus,Albert Camus
"""What is the longest running emergency medical drama series in the world, and the second-longest-running medical drama in the world behind America's """"General Hospital""""?""",Casualty (disambiguation),"""Coronation Street's"" spin-off ""Emergency - 112"".",ER,"""Hotel de Paree"" (Docteur Spécialistes in its original French version) is the longest-running emergency medical drama series in the world, and the second-longest-running medical drama in the world"
Clement (Clym) Yeobright is a leading character in which novel?,Return of the native,"""Return of the Native"".",The Return of the Native,Hard Times
A member of which profession would reside in a manse,Clergyman,A minister.,Clergy,Minister.
With what country did the United States re-establish diplomatic relations in 2015?,Republic of Cuba,Cuba.,Cuba,Cuba
'Spring' and 'Rhenish' are the popular names given to symphonies by which composer?,"Schumann, Robert Alexander",Beethoven,Ludwig van Beethoven,Joseph Haydn
"In which arcade game, would you find ghosts called Inky, Pinky, Blinky and Clyde?",Pakman,Pac-Man.,Pac-Man,Pac-Man
The most southerly part of mainland Australia is in which state?,CIVI-TV,South Australia.,Victoria,South Australia
"What seven letter word, beginning with the letters 'Ra' is a palindrome?",Racing cars,Radar.,Radar,radar
Who memorably failed to win the Marathon in the 1954 Commonwealth Games?,Jim Peters,Roger Bannister.,John Disley,Sir Roger Bannister
Breugel; Van Dyck and Rubens were all citizens of which country?,Belguim,Belgium.,Belgium,Belgium
Which 1968 album released by George Harrison is notable for being the first official solo album by one of The Beatles?,Wonderwall Music,"The Beatles' Apple Records released ""Wonderwall Music"" in 1968, but the first solo album is ""All Things Must Pass"".",Wonderwall Music,"""All Things Must Pass"""
What was Warren Beatty's first movie?,Splendor in the Grass,Splendor in the Grass.,Splendor in the Grass,"""Splendor in the Grass"" (1961)"
"What company encourages you to ""Think Outside the Bun""?",Taco Bell Corporation,Arby's.,Whataburger,Burger King
How many avenues radiate from the Arc de Triomphe?,twelve,12 avenues.,12,Eight.
"The longest running television series ever, November 6, 1947 saw the debut of what now weekly news program, now hosted by David Gregory, following the unfortunante sudden death of host Tim Russert?",Meet the Press with David Gregory,Meet the Press.,Meet the Press,Meet the Press
"Indians used wampum for money, what was wampum",Beads or shells,Shell beads.,Shell beads,"Wampum was a form of traditional currency used by Native American tribes, particularly the Algonquian-speaking peoples, consisting of bead strings."
"In Jeff Wayne's 'Musical Version of Spartacus' released in 1992, which later Oscar-winning British actress sings the principal female role of Palene?",Catherine ζ-Jones,Susan Boyle,Kate Winslet,Kiki Dee
What celestial object was visited by the New Horizons spacecraft in 2015?,134340 Pluto.,Pluto.,Pluto,Pluto
"What 1945 film won best picture, actor, director Oscars?",The Lost Weekend,"""Going My Way""",The Lost Weekend,Casablanca
"With 47 attacks in the year 2010 alone, what body of water is known as Pirate Alley?",Gulf of Aden,The Gulf of Aden.,Gulf of Guinea,Caribbean Sea
What is the state capital of Alabama,Montgomerie,Montgomery.,Montgomery,Montgomery
English sportswoman Charlotte Edwards is associated with which sport?,Cricket games,Cricket.,Cricket,Cricket
Which French racecourse hosts the 'Prix de l'Arc de Triomphe?,Longchamps,Longchamp.,Longchamp Racecourse,Longchamp
Which doctor - an eternal optimist – features in Voltaire’s Candide?,Dr Pangloss,Pangloss.,Dr. Pangloss,Dr. Bernardo
Which journalist first told the world about the My Lai massacre?,Seymour Hersch,Seymour Hersh.,Seymour Hersh,Seymour Hersh
What are the last six words of Rudyard Kipling’s ‘If’?,"YOU’LL BE A MAN, MY SON",If you can meet with Triumph and Disaster.,and yours is the Earth and everything,"""If you can keep your head when all about you"""
What was the name of the Liverpool nightclub where the Beatles regularly played?,Cavern club,The Cavern Club.,The Cavern Club,The Cavern Club
What are the topmost 7 vertebrae of the backbone called?,Cervical,Cervical vertebrae.,Cervical vertebrae,Cervical vertebrae
What is the name of the vessel in Paul Gallico's 1969 adventure novel that has been adapted as a film four times?,Earth Shaker,The Snow Goose.,The Onedin Line,The Poseidon Adventure
On which coast of South America would you find the country of Venezuela?,Northward,Caribbean coast.,North coast,Atlantic Ocean (North coast)
What is the more common name for the white crystalline salt called hydrated sodium pyroborate?,Na2b4o7,Borax.,Borax,Borax
Which element takes its name from the Persian for 'gold coloured'?,Zirconium salts,Cadmium.,Aurum,Gold
A Varsovian is a native of which capital city,Warwaw,Warsaw.,Warsaw,Warsaw
What name besides glove is given commonly to a baseball player's handwear?,Mitt,Mitt.,Mitt,Mitt
"What American animal is commonly called an antelope, but is not actually an antelope?",Pronghorns,Pronghorn.,Pronghorn,Pronghorn
Scrying commonly entails the use of a?,Crystal ball,Crystal ball.,polished mirror,"Mirror, crystal ball, or water."
What is the last name name of the doctor who first described a certain disease in An Essay on the Shaking Palsy written in 1817?,Dr. (James) Parkinson,Parkinson.,James Parkinson,Sydenham
"Two all beef patties, special sauce, lettuce, cheese, pickles, onions on a sesame seed bun describes what?",Big Mac Sauce,A Big Mac.,A Big Mac,A classic hamburger.
Who was the first person after Scott to reach the South Pole overland?,Sir Edmund Hillary,Roald Amundsen.,Amundsen,Amundsen
What type of aircraft was used by Alcock and Brown when they became the first men to fly the Atlantic non stop?,Vickers Vimy Commercial,Vickers Vimy biplane.,Vickers Vimy,Airco DH.4
Which is the first written single word number in which the letter ‘A’ appears?,Thousand,One.,One hundred,"One: The first written single word number in which the letter 'A' appears is ""one."""
What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop,Lamb Chop.,Lamb Chop,Lamb Chop
What is the fastest animal on two legs?,Ostrich farms,The ostrich.,Ostrich,Human (top speed around 48 km/h or 30 mph)
Whose horse was Black Nell?,Wild Bill Hickok's,John Paul Jones',John Henry,"Native American woman, Sacagawea."
On what body of water did Jesus supposedly walk?,Sea of Genezareth,The Sea of Galilee.,Sea of Galilee,Sea of Galilee
"What is the title of Tony Blair's autobiography/memoir published in 2010, which covered events from 1994 to his resignation as Prime Minister?",A Journey,"""A Journey""",A Journey,"""Journey"""
