question,correct_answer,model_a,model_b,swapped,first_model,first_answer,second_model,second_answer,first_length_words,second_length_words
Where certain religions divide the notion of heaven into parts there are generally?,Seven,allam,qwen,False,allam,Different levels or realms.,qwen,multiple levels,4,2
Where certain religions divide the notion of heaven into parts there are generally?,Seven,llama,qwen,False,llama,Multiple levels or realms.,qwen,multiple levels,4,2
The Frenchman Jean Robert-Houdin (1805-1871) is credited with formalizing what form of entertainment?,Magikal,allam,llama,True,llama,Modern magic.,allam,Magic,2,1
The Frenchman Jean Robert-Houdin (1805-1871) is credited with formalizing what form of entertainment?,Magikal,allam,qwen,False,allam,Magic,qwen,Magic,1,1
The Frenchman Jean Robert-Houdin (1805-1871) is credited with formalizing what form of entertainment?,Magikal,llama,qwen,True,qwen,Magic,llama,Modern magic.,1,2
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton,allam,llama,False,allam,Shirley Bassey,llama,Bobby Vinton.,2,2
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton,allam,qwen,False,allam,Shirley Bassey,qwen,Bobby Vinton,2,2
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton,llama,qwen,True,qwen,Bobby Vinton,llama,Bobby Vinton.,2,2
Which country is currently ruled by the Chakri dynasty that has been in power since 1782?,Muang Thai,allam,llama,True,llama,Thailand.,allam,Thailand,1,1
Which country is currently ruled by the Chakri dynasty that has been in power since 1782?,Muang Thai,allam,qwen,False,allam,Thailand,qwen,Thailand,1,1
Which country is currently ruled by the Chakri dynasty that has been in power since 1782?,Muang Thai,llama,qwen,True,qwen,Thailand,llama,Thailand.,1,1
What is a female skunk called?,Sows,allam,llama,True,llama,A female skunk is called a doe.,allam,"A female skunk is called a ""meerkat.""",7,7
What is a female skunk called?,Sows,allam,qwen,False,allam,"A female skunk is called a ""meerkat.""",qwen,Sow,7,1
What is a female skunk called?,Sows,llama,qwen,True,qwen,Sow,llama,A female skunk is called a doe.,1,7
"What cocktail typically consists of 3 parts vodka, 1 part apple schnapps, and 1 part cointreau?",Appletini,allam,llama,False,allam,White Russian,llama,Appletini.,2,1
"What cocktail typically consists of 3 parts vodka, 1 part apple schnapps, and 1 part cointreau?",Appletini,allam,qwen,False,allam,White Russian,qwen,Kamikaze,2,1
"What cocktail typically consists of 3 parts vodka, 1 part apple schnapps, and 1 part cointreau?",Appletini,llama,qwen,False,llama,Appletini.,qwen,Kamikaze,1,1
Catoptromancy is the term for predicting the future using what object? Who's the fairest of them all!,Handmirror,allam,llama,True,llama,A mirror. Snow White.,allam,Mirrors,4,1
Catoptromancy is the term for predicting the future using what object? Who's the fairest of them all!,Handmirror,allam,qwen,False,allam,Mirrors,qwen,A mirror,1,2
Catoptromancy is the term for predicting the future using what object? Who's the fairest of them all!,Handmirror,llama,qwen,False,llama,A mirror. Snow White.,qwen,A mirror,4,2
"""Whose last recorded words in the House of Commons were: """"I wish everyone, friend or foe, well. And that is that. The end """" ?""",Rt Hon Anthony Blair MP,allam,llama,False,allam,Margaret Thatcher,llama,Tam Dalyell.,2,2
"""Whose last recorded words in the House of Commons were: """"I wish everyone, friend or foe, well. And that is that. The end """" ?""",Rt Hon Anthony Blair MP,allam,qwen,True,qwen,Winston Churchill,allam,Margaret Thatcher,2,2
"""Whose last recorded words in the House of Commons were: """"I wish everyone, friend or foe, well. And that is that. The end """" ?""",Rt Hon Anthony Blair MP,llama,qwen,True,qwen,Winston Churchill,llama,Tam Dalyell.,2,2
"What can be a legislative body, a collective name for type of bird, and a funk band?",Parliamnet,allam,llama,True,llama,Parliament.,allam,"Legislative body: Congress
Collective name for bird: Flock
Funk band: Parliament",1,11
"What can be a legislative body, a collective name for type of bird, and a funk band?",Parliamnet,allam,qwen,False,allam,"Legislative body: Congress
Collective name for bird: Flock
Funk band: Parliament",qwen,Parliament,11,1
"What can be a legislative body, a collective name for type of bird, and a funk band?",Parliamnet,llama,qwen,True,qwen,Parliament,llama,Parliament.,1,1
Milford Sound in Fiordland National Park that was once judged the world's top travel destination is in which country,N Z,allam,llama,False,allam,New Zealand,llama,New Zealand.,2,2
Milford Sound in Fiordland National Park that was once judged the world's top travel destination is in which country,N Z,allam,qwen,False,allam,New Zealand,qwen,New Zealand,2,2
Milford Sound in Fiordland National Park that was once judged the world's top travel destination is in which country,N Z,llama,qwen,True,qwen,New Zealand,llama,New Zealand.,2,2
What is the result of raising any number to the power of zero?,1,allam,llama,False,allam,1,llama,One.,1,1
What is the result of raising any number to the power of zero?,1,allam,qwen,True,qwen,1,allam,1,1,1
What is the result of raising any number to the power of zero?,1,llama,qwen,True,qwen,1,llama,One.,1,1
Which jazz saxophonist was nicknamed Bird,Charlie Parker,allam,llama,True,llama,Charlie Parker.,allam,Charlie Parker,2,2
Which jazz saxophonist was nicknamed Bird,Charlie Parker,allam,qwen,False,allam,Charlie Parker,qwen,Charlie Parker,2,2
Which jazz saxophonist was nicknamed Bird,Charlie Parker,llama,qwen,False,llama,Charlie Parker.,qwen,Charlie Parker,2,2
209 year ago today was the founding of the United States Military Academy at what New York location?,West point,allam,llama,True,llama,West Point.,allam,West Point,2,2
209 year ago today was the founding of the United States Military Academy at what New York location?,West point,allam,qwen,False,allam,West Point,qwen,West Point,2,2
209 year ago today was the founding of the United States Military Academy at what New York location?,West point,llama,qwen,False,llama,West Point.,qwen,West Point,2,2
The Koppen System is a classification system for what?,Climate,allam,llama,False,allam,Climate,llama,Climate.,1,1
The Koppen System is a classification system for what?,Climate,allam,qwen,False,allam,Climate,qwen,Climate,1,1
The Koppen System is a classification system for what?,Climate,llama,qwen,False,llama,Climate.,qwen,Climate,1,1
In what modern-day country would you find Machu Picchu?,Lower Peru,allam,llama,True,llama,Peru.,allam,Peru,1,1
In what modern-day country would you find Machu Picchu?,Lower Peru,allam,qwen,True,qwen,Peru,allam,Peru,1,1
In what modern-day country would you find Machu Picchu?,Lower Peru,llama,qwen,True,qwen,Peru,llama,Peru.,1,1
"Which band have announced they have recorded the official Wales anthem for the upcoming Euro football championship, entitled Together Stronger (C’mon Wales)?",Manic Street Preachers,allam,llama,False,allam,Stereophonics,llama,Tom Jones and Aled Jones.,1,5
"Which band have announced they have recorded the official Wales anthem for the upcoming Euro football championship, entitled Together Stronger (C’mon Wales)?",Manic Street Preachers,allam,qwen,True,qwen,Catatonia,allam,Stereophonics,1,1
"Which band have announced they have recorded the official Wales anthem for the upcoming Euro football championship, entitled Together Stronger (C’mon Wales)?",Manic Street Preachers,llama,qwen,True,qwen,Catatonia,llama,Tom Jones and Aled Jones.,1,5
Which country is separated into two parts by the town of Limbang of Malaysia?,Abode of Peace,allam,llama,True,llama,Brunei.,allam,Brunei,1,1
Which country is separated into two parts by the town of Limbang of Malaysia?,Abode of Peace,allam,qwen,False,allam,Brunei,qwen,Brunei,1,1
Which country is separated into two parts by the town of Limbang of Malaysia?,Abode of Peace,llama,qwen,True,qwen,Brunei,llama,Brunei.,1,1
"""Which Shakespeare play features the line: """" The play's the thing / Wherein I'll catch the conscience of the king. """" ?""",The Hamlet,allam,llama,False,allam,King Lear,llama,Hamlet.,2,1
"""Which Shakespeare play features the line: """" The play's the thing / Wherein I'll catch the conscience of the king. """" ?""",The Hamlet,allam,qwen,True,qwen,Hamlet,allam,King Lear,1,2
"""Which Shakespeare play features the line: """" The play's the thing / Wherein I'll catch the conscience of the king. """" ?""",The Hamlet,llama,qwen,False,llama,Hamlet.,qwen,Hamlet,1,1
"Which BBC TV sitcom about a retired security guard was set at 37 Wyngate Drive in the first series then at 19, Riverbank for the final 5 series?",List of One Foot in the Grave characters,allam,llama,False,allam,QI,llama,Porridge,1,1
"Which BBC TV sitcom about a retired security guard was set at 37 Wyngate Drive in the first series then at 19, Riverbank for the final 5 series?",List of One Foot in the Grave characters,allam,qwen,True,qwen,Open All Hours,allam,QI,3,1
"Which BBC TV sitcom about a retired security guard was set at 37 Wyngate Drive in the first series then at 19, Riverbank for the final 5 series?",List of One Foot in the Grave characters,llama,qwen,False,llama,Porridge,qwen,Open All Hours,1,3
Zebu cattle are famously distinguished by?,Hump,allam,llama,True,llama,Their distinctive hump.,allam,Their hump,3,2
Zebu cattle are famously distinguished by?,Hump,allam,qwen,False,allam,Their hump,qwen,A hump on their shoulders,2,5
Zebu cattle are famously distinguished by?,Hump,llama,qwen,True,qwen,A hump on their shoulders,llama,Their distinctive hump.,5,3
Which European country has the world’s oldest national flag?,Eastern Denmark,allam,llama,True,llama,Denmark.,allam,Portugal,1,1
Which European country has the world’s oldest national flag?,Eastern Denmark,allam,qwen,True,qwen,Denmark,allam,Portugal,1,1
Which European country has the world’s oldest national flag?,Eastern Denmark,llama,qwen,True,qwen,Denmark,llama,Denmark.,1,1
"What is the common name for Hydrocephalus, a pathological condition whereby fluid is retained within the skull?",Hydrocephalic,allam,llama,False,allam,"The common name for Hydrocephalus is ""water on the brain"".",llama,Water on the brain.,10,4
"What is the common name for Hydrocephalus, a pathological condition whereby fluid is retained within the skull?",Hydrocephalic,allam,qwen,True,qwen,Water on the brain,allam,"The common name for Hydrocephalus is ""water on the brain"".",4,10
"What is the common name for Hydrocephalus, a pathological condition whereby fluid is retained within the skull?",Hydrocephalic,llama,qwen,True,qwen,Water on the brain,llama,Water on the brain.,4,4
What synthetic fiber is used in most bulletproof vests?,Kevlar,allam,llama,False,allam,Kevlar,llama,Kevlar.,1,1
What synthetic fiber is used in most bulletproof vests?,Kevlar,allam,qwen,True,qwen,Kevlar,allam,Kevlar,1,1
What synthetic fiber is used in most bulletproof vests?,Kevlar,llama,qwen,True,qwen,Kevlar,llama,Kevlar.,1,1
Who had a 60s No 1 hit with This Diamond Ring?,Dave Gonzalez (Gary Lewis & the Playboys),allam,llama,False,allam,Shania Twain,llama,Gary Lewis and the Playboys.,2,5
Who had a 60s No 1 hit with This Diamond Ring?,Dave Gonzalez (Gary Lewis & the Playboys),allam,qwen,True,qwen,Gary Lewis & the Playboys,allam,Shania Twain,5,2
Who had a 60s No 1 hit with This Diamond Ring?,Dave Gonzalez (Gary Lewis & the Playboys),llama,qwen,True,qwen,Gary Lewis & the Playboys,llama,Gary Lewis and the Playboys.,5,5
"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",Jumangi,allam,llama,False,allam,"Clue from the 1995 movie game ""Jumanji""",llama,Tomb Raider.,7,2
"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",Jumangi,allam,qwen,True,qwen,Jungle Speed,allam,"Clue from the 1995 movie game ""Jumanji""",2,7
"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",Jumangi,llama,qwen,False,llama,Tomb Raider.,qwen,Jungle Speed,2,2
‘Loitering With Intent’ is a 1993 autobiography by which British actor?,Peter o toole,allam,llama,False,allam,Hugh Grant,llama,Steve Coogan.,2,2
‘Loitering With Intent’ is a 1993 autobiography by which British actor?,Peter o toole,allam,qwen,False,allam,Hugh Grant,qwen,Ray Winstone,2,2
‘Loitering With Intent’ is a 1993 autobiography by which British actor?,Peter o toole,llama,qwen,False,llama,Steve Coogan.,qwen,Ray Winstone,2,2
"In Switzerland, 1978, the corpse of which entertainer was reburied in concrete after it was recovered from extortionists?",Roy Export Company Establishment,allam,llama,True,llama,Paula Strassmann,allam,Marilyn Monroe,2,2
"In Switzerland, 1978, the corpse of which entertainer was reburied in concrete after it was recovered from extortionists?",Roy Export Company Establishment,allam,qwen,False,allam,Marilyn Monroe,qwen,Marcel Marceau,2,2
"In Switzerland, 1978, the corpse of which entertainer was reburied in concrete after it was recovered from extortionists?",Roy Export Company Establishment,llama,qwen,False,llama,Paula Strassmann,qwen,Marcel Marceau,2,2
"Translating from the Greek as ""separating circle"", what is the name of the apparent line that separates the earth from the sky?",Horizon distance,allam,llama,False,allam,"The ""separating circle"" is called the ""equator"".",llama,Horizon.,7,1
"Translating from the Greek as ""separating circle"", what is the name of the apparent line that separates the earth from the sky?",Horizon distance,allam,qwen,False,allam,"The ""separating circle"" is called the ""equator"".",qwen,Horizon,7,1
"Translating from the Greek as ""separating circle"", what is the name of the apparent line that separates the earth from the sky?",Horizon distance,llama,qwen,False,llama,Horizon.,qwen,Horizon,1,1
Which member of the cabinet is MP for Maidenhead?,Theresa Mary May,allam,llama,True,llama,Thérèse Coffey,allam,"The MP for Maidenhead is Theresa May, who is the Prime Minister of the United Kingdom.",2,16
Which member of the cabinet is MP for Maidenhead?,Theresa Mary May,allam,qwen,True,qwen,No current cabinet member,allam,"The MP for Maidenhead is Theresa May, who is the Prime Minister of the United Kingdom.",4,16
Which member of the cabinet is MP for Maidenhead?,Theresa Mary May,llama,qwen,False,llama,Thérèse Coffey,qwen,No current cabinet member,2,4
What was the French sounding winner of the 2011 Epsom Derby?,Pour Moi,allam,llama,False,allam,"The French-trained horse that won the 2011 Epsom Derby is:
Dubawi.",llama,Pour Moi,11,2
What was the French sounding winner of the 2011 Epsom Derby?,Pour Moi,allam,qwen,True,qwen,Pour Moi,allam,"The French-trained horse that won the 2011 Epsom Derby is:
Dubawi.",2,11
What was the French sounding winner of the 2011 Epsom Derby?,Pour Moi,llama,qwen,False,llama,Pour Moi,qwen,Pour Moi,2,2
In Architecture what are a series of short upright pillars supporting a coping or rail called?,Baluster,allam,llama,False,allam,Balusters.,llama,Balusters.,1,1
In Architecture what are a series of short upright pillars supporting a coping or rail called?,Baluster,allam,qwen,False,allam,Balusters.,qwen,Balusters,1,1
In Architecture what are a series of short upright pillars supporting a coping or rail called?,Baluster,llama,qwen,False,llama,Balusters.,qwen,Balusters,1,1
David Balfour and Alan Breck are characters in books by which author?,Robert Lewis Balfour Stevenson,allam,llama,True,llama,Robert Louis Stevenson.,allam,Sir Walter Scott,3,3
David Balfour and Alan Breck are characters in books by which author?,Robert Lewis Balfour Stevenson,allam,qwen,True,qwen,Robert Louis Stevenson,allam,Sir Walter Scott,3,3
David Balfour and Alan Breck are characters in books by which author?,Robert Lewis Balfour Stevenson,llama,qwen,True,qwen,Robert Louis Stevenson,llama,Robert Louis Stevenson.,3,3
In which country will you find the 'Carisbrook Rugby Stadium'?,N Z,allam,llama,False,allam,New Zealand,llama,New Zealand.,2,2
In which country will you find the 'Carisbrook Rugby Stadium'?,N Z,allam,qwen,False,allam,New Zealand,qwen,New Zealand,2,2
In which country will you find the 'Carisbrook Rugby Stadium'?,N Z,llama,qwen,False,llama,New Zealand.,qwen,New Zealand,2,2
Facebook's new music sharing/streaming feature launched in 2015 was called 'Music... ?,Story,allam,llama,False,allam,SoundCloud,llama,Facebook Audio.,1,2
Facebook's new music sharing/streaming feature launched in 2015 was called 'Music... ?,Story,allam,qwen,False,allam,SoundCloud,qwen,On Demand,1,2
Facebook's new music sharing/streaming feature launched in 2015 was called 'Music... ?,Story,llama,qwen,True,qwen,On Demand,llama,Facebook Audio.,2,2
Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",allam,llama,False,allam,Richard III,llama,Richard III.,2,2
Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",allam,qwen,True,qwen,Richard III,allam,Richard III,2,2
Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",llama,qwen,False,llama,Richard III.,qwen,Richard III,2,2
Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,allam,llama,False,allam,Jurassic Period,llama,Jurassic period.,2,2
Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,allam,qwen,True,qwen,Jurassic,allam,Jurassic Period,1,2
Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,llama,qwen,True,qwen,Jurassic,llama,Jurassic period.,1,2
Justine Thornton is the fiancee of which politician?,Red Ed,allam,llama,False,allam,Jeremy Corbyn,llama,Ed Miliband.,2,2
Justine Thornton is the fiancee of which politician?,Red Ed,allam,qwen,True,qwen,John F. Kennedy,allam,Jeremy Corbyn,3,2
Justine Thornton is the fiancee of which politician?,Red Ed,llama,qwen,True,qwen,John F. Kennedy,llama,Ed Miliband.,3,2
In which county would you find Chesil Beach?,County of Dorset,allam,llama,True,llama,Dorset.,allam,Dorset,1,1
In which county would you find Chesil Beach?,County of Dorset,allam,qwen,True,qwen,Dorset,allam,Dorset,1,1
In which county would you find Chesil Beach?,County of Dorset,llama,qwen,False,llama,Dorset.,qwen,Dorset,1,1
"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,allam,llama,False,allam,Tina Turner,llama,Tina Turner.,2,2
"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,allam,qwen,True,qwen,Rod Stewart,allam,Tina Turner,2,2
"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,llama,qwen,False,llama,Tina Turner.,qwen,Rod Stewart,2,2
Chi is the Chinese year of what?,Cock (disambiguation),allam,llama,True,llama,The Water Snake.,allam,"Rat (摩登, Módéng)",3,3
Chi is the Chinese year of what?,Cock (disambiguation),allam,qwen,True,qwen,Rooster,allam,"Rat (摩登, Módéng)",1,3
Chi is the Chinese year of what?,Cock (disambiguation),llama,qwen,False,llama,The Water Snake.,qwen,Rooster,3,1
Who was the second wife of Henry VIII?,Anne Boylen,allam,llama,False,allam,Anne of Cleves,llama,Anne Boleyn.,3,2
Who was the second wife of Henry VIII?,Anne Boylen,allam,qwen,True,qwen,Anne Boleyn,allam,Anne of Cleves,2,3
Who was the second wife of Henry VIII?,Anne Boylen,llama,qwen,False,llama,Anne Boleyn.,qwen,Anne Boleyn,2,2
Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,allam,llama,True,llama,Rudyard Kipling.,allam,Rudyard Kipling,2,2
Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,allam,qwen,False,allam,Rudyard Kipling,qwen,Rudyard Kipling,2,2
Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,llama,qwen,False,llama,Rudyard Kipling.,qwen,Rudyard Kipling,2,2
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,allam,llama,True,llama,John Astin,allam,Romper Room,2,2
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,allam,qwen,True,qwen,John Astin,allam,Romper Room,2,2
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,llama,qwen,True,qwen,John Astin,llama,John Astin,2,2
"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,allam,llama,False,allam,Feet.,llama,On the foot.,1,3
"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,allam,qwen,True,qwen,On the foot,allam,Feet.,3,1
"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,llama,qwen,True,qwen,On the foot,llama,On the foot.,3,3
If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,allam,llama,True,llama,South Dakota,allam,Alaska,2,1
If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,allam,qwen,False,allam,Alaska,qwen,Wyoming,1,1
If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,llama,qwen,False,llama,South Dakota,qwen,Wyoming,2,1
"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,allam,llama,False,allam,Alan Turing,llama,Alan Turing.,2,2
"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,allam,qwen,True,qwen,Alan Turing,allam,Alan Turing,2,2
"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,llama,qwen,False,llama,Alan Turing.,qwen,Alan Turing,2,2
What is Chandler's surname in Friends,Bing.com,allam,llama,False,allam,Bing,llama,Bing.,1,1
What is Chandler's surname in Friends,Bing.com,allam,qwen,False,allam,Bing,qwen,Bing,1,1
What is Chandler's surname in Friends,Bing.com,llama,qwen,True,qwen,Bing,llama,Bing.,1,1
Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,allam,llama,True,llama,Marsupilami.,allam,Gomez Addams,1,2
Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,allam,qwen,True,qwen,The Flintstones,allam,Gomez Addams,2,2
Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,llama,qwen,False,llama,Marsupilami.,qwen,The Flintstones,1,2
"In which city would you find the International Court of Justice, otherwise known as The World Court?",The hague,allam,llama,False,allam,The Hague,llama,The Hague.,2,2
"In which city would you find the International Court of Justice, otherwise known as The World Court?",The hague,allam,qwen,True,qwen,The Hague,allam,The Hague,2,2
"In which city would you find the International Court of Justice, otherwise known as The World Court?",The hague,llama,qwen,False,llama,The Hague.,qwen,The Hague,2,2
Which Scottish author who died in 1930 had Ignatius as one of his christian names?,A Conan Doyle,allam,llama,False,allam,Sir Walter Scott,llama,James Matthew Barrie.,3,3
Which Scottish author who died in 1930 had Ignatius as one of his christian names?,A Conan Doyle,allam,qwen,False,allam,Sir Walter Scott,qwen,Robert Louis Stevenson,3,3
Which Scottish author who died in 1930 had Ignatius as one of his christian names?,A Conan Doyle,llama,qwen,False,llama,James Matthew Barrie.,qwen,Robert Louis Stevenson,3,3
"In 2009, who became the first woman to referee the World Snooker Championship final?",Michaela Tabb,allam,llama,True,llama,Jan Verhaas,allam,Referee,2,1
"In 2009, who became the first woman to referee the World Snooker Championship final?",Michaela Tabb,allam,qwen,False,allam,Referee,qwen,Janet Minto,1,2
"In 2009, who became the first woman to referee the World Snooker Championship final?",Michaela Tabb,llama,qwen,False,llama,Jan Verhaas,qwen,Janet Minto,2,2
